"comid","do_stream_mg_l","doc_stream_mg_l","no3_stream_mg_l"
23099938,10.66504397,0.948452172,0.170011065941252
23099940,10.59844762,0.833642765,0.17447773222194
23099942,10.61922083,0.822710659,0.171033152036176
23099944,10.62321975,0.806013033,0.17128726450456
23099946,10.7050607,0.868041508,0.175948608287014
23099948,10.69872504,0.949877839,0.1708624746718
23099950,10.77705306,1.38232868,0.18165281111721
23099952,10.80585038,0.950275981,0.169174413392822
23099954,10.74130461,0.908715601,0.18059460543715
23099956,10.84709702,1.138452097,0.158813696995456
23099958,10.82518419,1.600727112,0.156061577261182
23099960,10.87810849,1.257760008,0.148457392924324
23099962,10.91466943,1.291311224,0.14895080205182
23099964,10.55123446,1.170614099,0.1626027125631
23099966,10.6630909,1.188173035,0.16314899334585
23099968,10.61179947,1.089444778,0.167902845289674
23099970,10.65429527,1.084787436,0.166168445645324
23099972,10.71081697,1.067920693,0.167386898594882
23099974,10.71099277,1.037041185,0.17130714521228
23099976,10.73334189,0.916641267,0.182943774012512
23099978,10.80678951,0.960612263,0.172896571286376
23099980,10.90266247,0.849824418,0.18043299838579
23099982,10.50064686,1.425931284,0.222671799077892
23099984,10.54608366,1.418504373,0.218396580370052
23099986,10.57136634,1.001172304,0.21298334324854
23099988,10.56291053,0.781818182,0.210586651581954
23099990,10.55871231,0.781818182,0.207686089257758
23099992,10.52846146,0.781818182,0.204094485059468
23099994,10.53375682,0.781818182,0.201440487087888
23099996,10.50619633,0.781818182,0.18520083510102
23099998,10.52933184,0.957402419,0.169933496003618
23100000,10.5250638,0.923797991,0.166702031665612
23100002,10.55073185,1.031531848,0.162958441926714
23100004,10.58242111,1.024205753,0.161410360589376
23100006,10.62028967,1.165722009,0.160319079552352
23100008,10.60010565,1.062236715,0.160996096654118
23100010,10.59077861,1.115649342,0.159573950610374
23100012,10.48660434,0.994904664,0.164467662992044
23100014,10.48235601,1.007110648,0.162314052853514
23100016,10.59830149,1.125486248,0.165709746922874
23100018,10.56127236,1.017877185,0.197661685144436
23100020,10.24652637,2.225528479,0.48137881860294
23100022,10.24601096,2.111044692,0.47973878204837
23100024,10.25069661,2.665032648,0.47964046460549
23100026,10.25066813,2.084949748,0.479586470096912
23100028,10.24573429,2.081368779,0.479524994667462
23100030,10.24569554,2.073154882,0.479481501107786
23100034,10.2447552,2.15200561,0.478491837880774
23100038,10.24082502,2.683478617,0.47499955763505
23100052,10.30772268,2.64146344,0.431038221771652
23100054,10.30767781,2.227376928,0.431015294424062
23100056,10.28652859,2.258315908,0.420335609260914
23100058,10.33713594,1.995145666,0.348364900145616
23100060,10.07368105,2.448980138,0.516989338367
23100062,10.15835437,1.85149394,0.340312312791394
23100064,10.17044229,1.760996549,0.336645124647192
23100066,10.24213189,1.707217505,0.321437658530662
23100068,10.24631334,1.752344762,0.319776381569672
23100070,10.24419236,1.671265319,0.312543130938564
23100072,10.31589836,1.741306587,0.298907993371064
23100074,10.34796447,1.652810833,0.286472419419604
23100076,10.35447843,1.581552366,0.283895588715254
23100078,10.38530309,1.484986541,0.282708830300812
23100080,10.39798189,1.477672612,0.278911184347132
23100082,10.37815993,1.463720485,0.27148037182345
23100084,10.38505515,1.398824298,0.27036293816699
23100086,10.38935025,1.412837581,0.270146582494036
23100088,10.38851747,1.523511833,0.257779053603702
23100090,10.42769261,2.05575354,0.255523905823328
23100092,10.44468638,1.444548792,0.254485404298062
23100094,10.44491551,1.466081877,0.250769019510548
23100096,10.50047412,1.48085139,0.245160059707254
23100098,10.51707456,1.331939526,0.244376956917026
23100100,10.5246589,0.938355562,0.243913190302296
23100102,10.46453373,0.781818182,0.228618376309658
23100104,10.46721724,0.781818182,0.228257650157274
23100106,10.47131626,0.781818182,0.226122308631094
23100108,10.48085154,0.781818182,0.223109802354508
23100110,10.32731121,0.781818182,0.210015463946528
23100112,10.45967742,0.781818182,0.196987248725854
23100114,10.36569737,0.923551322,0.190583899967826
23100116,10.37799628,1.038143902,0.18820427272783
23100118,10.42828043,1.093165725,0.187080577305418
23100120,10.41998248,1.111279134,0.187857436126362
23100122,10.45361647,1.149180904,0.187245603728732
23100124,10.41936017,1.187887731,0.186852000643916
23100126,10.36463365,1.214881333,0.186808658688566
23100128,10.3721044,1.234134323,0.181734508052256
23100130,10.37002207,0.781818182,0.263385877224702
23100132,10.45419627,0.828969128,0.252962482459556
23100134,10.69396345,1.178063796,0.237181621338634
23100136,10.26028108,1.112500528,0.301348240220368
23100138,10.31058699,1.029339213,0.293494158980068
23100140,10.3572339,0.781818182,0.298422136101626
23100142,10.16163317,0.781818182,0.284222132707616
23100144,10.12083691,0.781818182,0.281260761663724
23100146,10.36939243,0.781818182,0.261107082994924
23100148,10.08279006,1.602843428,0.299722052134686
23100150,10.34683978,1.008798749,0.27758708804779
23100152,10.43586867,0.781818182,0.285322376030218
23100154,10.43959601,0.781818182,0.284787891361358
23100156,10.41555298,0.781818182,0.279262791869378
23100158,10.38408477,0.781818182,0.283610861902972
23100160,10.37289628,0.781818182,0.256039686443606
23100162,10.51304397,1.979457588,0.238752635512254
23100164,10.6165021,2.30512422,0.233770816318064
23100166,10.61623706,1.77182837,0.233645042940884
23100168,10.62513165,1.653382415,0.230375425374194
23100170,10.62487133,1.562884556,0.230072084577776
23100172,10.64608894,1.302990605,0.22922780374541
23100174,10.66924349,1.319973185,0.22915474218612
23100176,10.67324817,1.082696832,0.22888350308597
23100178,10.67145882,1.049221669,0.228417494673206
23100180,10.6713202,1.049799683,0.228376739305542
23100182,10.66505217,0.781818182,0.228040231174988
23100184,10.68172679,0.781818182,0.227122026143906
23100186,10.66723512,0.781818182,0.22524630324213
23100188,10.6772694,0.781818182,0.215853235926108
23100190,10.68497766,0.781818182,0.215140057242396
23100192,10.67013767,0.781818182,0.21260749965831
23100194,10.69919654,0.781818182,0.211954175327182
23100196,10.68528636,0.781818182,0.21254890246568
23100198,10.68376787,0.781818182,0.212361237599564
23100200,10.4352539,0.781818182,0.201780168347714
23100202,10.27981555,0.781818182,0.205227494792204
