"comid","logq_hz_lateral_m_div_s_fill"
23100410,-5.33596947505278
23100412,-5.37543946728749
23100414,-5.32091749572337
23100416,-5.3692061293227
23100418,-5.6851009757266
23100420,-6.07114346641809
23100422,-5.52003620102175
23100424,-5.53470639631336
23100426,-5.06501648189142
23100428,-4.87838435436208
23100430,-5.07090819565088
23100432,-5.65300193201357
23100434,-4.84231058246491
23100436,-4.6666299506517
23100438,-4.98818377618894
23100440,-4.75617442537172
23100442,-4.42454337474904
23100444,-5.13918303613546
23100446,-5.64587234470774
23100448,-4.97766134278568
23100450,-9.74331760406494
23100452,-9.43856430053711
23100454,-7.60380065290426
23100456,-7.24718356881173
23100458,-8.10790539730952
23100460,-7.83268266525182
23100462,-7.54668165995296
23100464,-7.13548891894161
23100466,-7.92811799269387
23100468,-6.88873748634093
23100470,-7.37059040089728
23100472,-7.26680273489343
23100474,-7.35457773065091
23100476,-7.66354026615147
23100478,-7.92811799269387
23100480,-7.29843201494407
23100482,-7.52432881167557
23100484,-7.82390874094432
23100486,-8.24412514432751
23100488,-7.74472749489669
23100490,-8.01527500152588
23100492,-7.57503652572632
23100494,-5.94100490647458
23100496,-5.85244733591973
23100498,-5.39374468626726
23100500,-5.4937661763002
23100502,-4.94500553708797
23100504,-4.87295878922145
23100506,-4.93238615026073
23100508,-4.77158491527257
23100510,-4.99371085855538
23100512,-4.77121560240253
23100514,-4.49372502871303
23100516,-4.47910660288771
23100518,-5.61595139797138
23100520,-4.90663785929205
23100522,-5.03604698334752
23100524,-5.82710530224782
23100526,-4.27146198631788
23100528,-4.97221686709893
23100530,-9.67430877685547
23100532,-9.077561378479
23100534,-7.63638802010786
23100536,-8.09151498112135
23100538,-7.35261702988538
23100540,-7.67571754470231
23100542,-9.03788757324219
23100544,-7.23433144524099
23100546,-8.17392519729917
23100548,-7.45345733652187
23100550,-7.39794000867204
23100552,-7.54975089168064
23100554,-7.10568393731556
23100556,-7.45842075605342
23100558,-7.29670862188134
23100560,-7.35951856302958
23100562,-7.35951856302958
23100564,-7.90657831483777
23100566,-8.50863830616573
23100568,-7.7619538968712
23100570,-7.77469071827414
23100572,-5.37016243417393
23100574,-5.18196361840772
23100576,-5.17768151335036
23100578,-5.18321219667829
23100580,-6.09865067458436
23100582,-4.16837611171935
23100584,-4.91830513515542
23100586,-5.48574453156262
23100588,-5.57744298788064
23100590,-5.42894368202373
23100592,-7.79588001734407
23100594,-7.96657624451305
23100596,-6.54913530762023
23100600,-5.00159391682818
23100602,-5.54617569689996
23100604,-5.21856777449535
23100606,-5.68486319024463
23100608,-4.69161570692498
23100610,-4.72224960959316
23100612,-5.00571931820896
23100614,-4.94664627663085
23100620,-6.98088370955293
23100622,-8.72822093963623
23100624,-6.34901290561656
23100626,-7.5275444984436
23100628,-8.78679847717285
23100630,-7.49144887924194
23100632,-6.62160209905186
23100634,-6.95624487303132
23100640,-7.85698519974591
23100642,-6.89756629431866
23100654,-5.78475911293464
23100656,-5.87095494011204
23100660,-6.73471037413917
23100662,-9.14039516448975
23100664,-7.76378870010376
23100670,-7.65364702554936
23100672,-6.5392524581558
23100676,-7.67366413907125
23100678,-9.85441207885742
23100680,-10.3017196655273
23100682,-5.50803855757537
23100684,-5.60020716276087
23100686,-8.29825305938721
23100688,-9.66068077087402
23100690,-7.46556282043457
23100692,-8.46852108295774
23100694,-8.2213659286499
23100696,-8.26760624017703
23100698,-7.61083391563547
23100700,-8.88605664769316
23100704,-5.23253986320095
23100706,-5.29596107512944
23100708,-6.31175820402229
23100710,-6.65403845818686
23100712,-7.88356733322144
23100714,-7.26201267366657
23100716,-7.09799710864927
23100718,-8.72124639904717
23100720,-6.99353395775077
23100722,-8.33097267150879
23100724,-5.80299527197695
23100726,-4.78617195766505
23100728,-6.74112337062787
23100730,-6.88041422503822
23100732,-6.56944123047724
23100734,-6.87942606879415
23100738,-6.97265039222524
23100740,-4.91565798711664
23100742,-7.56380176544189
23100744,-7.64016451766011
23100746,-4.52812029524879
23100748,-6.20252471246267
23100750,-4.3219143417644
23100756,-7.22112552799726
23100758,-6.66885435945948
23100760,-4.51438219207857
23100762,-8.38660049438477
23100764,-7.33818731446274
23100766,-7.07365755337435
23100768,-5.76187859221849
23100770,-5.56512083475859
23100772,-8.18708664335714
23100774,-7.91364016932525
23100776,-9.16880321502686
23100778,-7.41341269532824
23100780,-5.35645849963556
23100784,-4.97190463701834
23100786,-7.19044028536473
23100788,-7.33913452199613
23100792,-4.89644940627458
23100794,-5.80318845733732
23100796,-5.38284173084759
23100798,-8.45593195564972
23100800,-8.70866394042969
23100802,-7.97469413473523
23100804,-7.77211329538633
23100806,-5.26225672281274
23100808,-7.60205999132796
23100810,-8.79588001734407
23100812,-7.88941028970075
23100814,-7.32239304727951
23100818,-4.85672869838419
23100820,-8.49485002168009
23100822,-8.52287874528034
23100824,-4.71379766093412
23100826,-4.49526415600041
23100828,-5.69261842945095
23100830,-7.58004425151024
23100832,-5.51605628570958
23100834,-3.83319575019513
23100836,-7.61083391563547
23100842,-5.08933595308353
23100844,-4.46681281584859
