"comid","logRT_lateral_hz_s_fill"
23099812,8.49880660693537
23099814,5.54609384983789
23099816,5.63259518330027
23099818,5.44016927127944
23099820,6.30047511993395
23099822,5.29231992292554
23099824,5.27889091127749
23099826,6.6862797553522
23099828,7.04818668582163
23099830,5.208039959776
23099832,5.39487981796265
23099834,5.49483531979957
23099836,6.24790043572704
23099838,7.07620860785544
23099840,7.41460943222046
23099842,8.10110532543725
23099844,7.05296354526798
23099846,5.87481620198066
23099848,5.22876882553101
23099850,5.42314335972129
23099852,6.68733577832566
23099854,5.56327430240086
23099856,5.7401015198982
23099858,6.72833194214293
23099860,5.45176252350388
23099862,5.5239897037179
23099864,5.20681858976462
23099866,5.05393342107183
23099868,5.31001454353801
23099870,5.05444848414456
23099872,5.57902637772593
23099874,3.94412279129028
23099876,8.49880660693537
23099878,5.22096010062861
23099880,7.29556571391285
23099882,5.93602275848389
23099884,6.57629354317296
23099886,5.37302320420464
23099888,5.27487376724999
23099890,4.93626558344023
23099892,5.79570012524688
23099894,4.77324696797921
23099896,4.59091714610516
23099898,3.98872739555459
23099900,5.08285521945749
23099902,4.8286942439566
23099906,5.42104257521256
23099908,4.81832062544642
23099910,4.65562551462615
23099912,5.28068219250842
23099914,3.64381766319275
23099916,5.25184470060713
23099918,5.0779033053834
23099920,3.11509401062706
23099922,4.59469054577497
23099924,4.659444596202
23099926,4.84691535452676
23099928,4.41934430503641
23099930,4.1331121137121
23099932,4.36764049166323
23099934,4.96753560263343
23099936,4.64822995793425
23099938,4.7221293575422
23099940,5.17054427740757
23099942,3.8849247032616
23099944,5.17996742758484
23099946,3.73450553110557
23099948,4.68177780620985
23099950,3.0302140712738
23099952,4.13783264921807
23099954,4.44088735177685
23099956,4.06631872602544
23099958,2.91472768783569
23099960,3.36903385277877
23099962,3.99930685624494
23099964,4.58651560204097
23099966,4.93285275277545
23099968,4.55563845453113
23099970,4.63101527108911
23099972,4.05462173750205
23099974,4.43174818969526
23099976,3.68069636172098
23099978,4.33151169913351
23099980,4.51583519162713
23099982,4.81163868298175
23099984,5.16412405366847
23099986,4.61061074342961
23099988,3.07718586921692
23099990,4.39809208483424
23099992,4.5335822152531
23099994,4.95058981327359
23099996,5.1423318421712
23099998,4.19987397478757
23100000,4.68625872639454
23100002,4.17187976597397
23100004,4.89894927948716
23100006,4.13583157978105
23100008,3.54617010981103
23100010,4.1364407892386
23100012,4.09185356809731
23100014,4.68428472693908
23100016,4.04551782243553
23100018,4.33256225893709
23100020,7.50873933879642
23100022,7.5422887802124
23100024,7.32263057192123
23100026,7.20539140701294
23100028,5.13199901580811
23100030,8.29580049917025
23100034,4.34965133666992
23100038,7.17794269529585
23100052,8.11369424226231
23100054,7.95882731731598
23100056,6.13525772094727
23100058,7.59635557392064
23100060,7.231207784376
23100062,7.3116277314289
23100064,8.02908858683048
23100066,7.10268013102077
23100068,6.07048961031368
23100070,5.81676290438209
23100072,6.06507986032859
23100074,5.884480098629
23100076,5.71173234261933
23100078,5.59662990074763
23100080,5.63588683870289
23100082,5.75785665632897
23100084,5.40475460766368
23100086,4.90697476747532
23100088,4.91029269446184
23100090,4.18886804580688
23100092,5.06255114179002
23100094,4.53956898106271
23100096,5.07690137592737
23100098,4.481571940115
23100100,4.16139431930909
